"Target","Group","count","mean","sd","median","min","max","IQR"
"C4","Control Non Lesional",11,0.04025741654545455,0.06490086890047615,0.017810761,0.001418396,0.225139737,0.021508101
"C4","UC Non Lesional",16,0.1200575935625,0.13676236742954856,0.056887796500000004,0.004110762,0.475087413,0.1318674395
"C4","UC Lesional",10,0.07515924522222223,0.06416900787765932,0.069879015,0.00434938,0.176250934,0.09996179799999999
"C4","CD Lesional",12,0.11945968226999999,0.08214101890892615,0.129260412,3.19107e-5,0.241834452,0.12373991275000001
"C4","CD Non Lesional",15,0.09908317208333332,0.14512906350856863,0.034884886,0.011912111,0.503952569,0.08180913875000001
"C4BP","Control Non Lesional",11,0.020656135,0.036673138045701555,0.004860362,0.001219086,0.120106101,0.02152758575
"C4BP","UC Non Lesional",16,0.10081826619999999,0.1896723994822146,0.00674896,5.26934e-4,0.592030361,0.09850286150000001
"C4BP","UC Lesional",10,5.261870454800001,14.930690343984322,0.5305627085,0.013113772,47.732342010000004,1.0435479167500001
"C4BP","CD Lesional",12,2075.672694236,7189.8198747161105,0.1268421555,0.003016427,24906.41711,0.31492002675
"C4BP","CD Non Lesional",15,0.3346162848666666,1.147581531425824,0.025583567,0.006929402,4.480555556,0.037709729
"C5","Control Non Lesional",11,1.2191659055,0.9832516086389992,0.848265744,0.056132075,2.858509567,1.6007623655
"C5","UC Non Lesional",16,1.5505486567333333,1.063034208828976,1.219405594,0.28845925,3.927893738,1.581174818
"C5","UC Lesional",10,0.9446369305555555,0.28979966112290073,0.9706219,0.346043851,1.312173264,0.1942682309999999
"C5","CD Lesional",12,1.2330796409,0.6603079965557661,1.1329795225,0.432889585,2.357632399,1.00396310975
"C5","CD Non Lesional",15,1.2138535639166665,0.9212726956103663,0.8765480295,0.482416397,3.61218425,0.4146305705000001
"C5aR1","Control Non Lesional",11,7.156901645090909,5.645882775005291,4.832281634,3.754069767,23.42481418,2.6049692455000004
"C5aR1","UC Non Lesional",16,20325.191339195684,81210.04993449082,8.21486401,2.732312566,324862.8357,11.557982912749997
"C5aR1","UC Lesional",10,12.2427298857,11.103738639537204,10.937090965,2.027560764,41.31874299,6.02120081925
"C5aR1","CD Lesional",12,831.8900646191667,2842.2137910357746,7.876266703500001,1.352990033,9857.035365,7.8369882667500015
"C5aR1","CD Non Lesional",15,10.411492787933334,12.890752705391078,5.808031342,2.933931485,54.7922952,5.9395654715
"C5aR2","Control Non Lesional",11,0.05580886527272727,0.05862530055329326,0.032610745,8.77554e-4,0.176964962,0.055947585999999994
"C5aR2","UC Non Lesional",16,0.1089646888125,0.10146307540683965,0.062092455500000004,0.022700297,0.341248666,0.08097579675000001
"C5aR2","UC Lesional",10,0.6376247747777778,0.7697181312261446,0.330283838,0.154167537,2.261124122,0.14572335599999997
"C5aR2","CD Lesional",12,0.2403874057,0.26589279413350486,0.15730203,1.66899e-4,0.883169935,0.268522816
"C5aR2","CD Non Lesional",15,0.14459519833333334,0.078003390796372,0.13758213749999998,0.029275362,0.265818069,0.07149312425000001
"C6","Control Non Lesional",11,36.73832662661942,66.10894344550402,2.954252577,1.57877e-8,205.1215391,31.2015843945
"C6","UC Non Lesional",16,24.328717846125002,40.74849348922532,16.061915895,0.042285307,169.5323571,22.540630955250002
"C6","UC Lesional",10,3.636793678666667,5.364057052132695,0.292161172,0.001759746,16.09103707,5.11651058
"C6","CD Lesional",12,6.1745016985,8.489337098965477,1.6184959415,0.001807766,21.07788162,8.51139881625
"C6","CD Non Lesional",15,47.379291635499996,96.89271493600695,3.410690967,0.001336193,267.6820208,16.105536470249998
"C7","Control Non Lesional",11,311.11775411054543,952.3182133511668,6.699375558,0.001536146,3180.371353,48.7779332635
"C7","UC Non Lesional",16,78.17438975153334,85.9858419808001,38.19323801,1.3526701,293.0447126,104.730708785
"C7","UC Lesional",10,89.68103652239999,198.14098752363313,7.782752448,0.529345626,626.7657993,29.20962633
"C7","CD Lesional",12,5673.77939514625,19600.73307863206,10.0217643155,0.401707317,67914.4385,33.9998799865
"C7","CD Non Lesional",15,362.4568745907334,1015.9148565052614,55.14295676,0.918367347,3996.441281,151.49640682150002
"C8_alpha","Control Non Lesional",11,0.00122527289,0.0011158820130578466,9.73137e-4,6.70659e-5,0.00415952,6.285657499999999e-4
"C8_alpha","UC Non Lesional",16,1788.5558834275625,7154.200095089227,0.0037562875,2.12497e-4,28616.80624,0.0098564405
"C8_alpha","UC Lesional",10,0.0014159339699999999,0.0015373076645424726,7.094594999999999e-4,4.43617e-5,0.004900181,0.0018465660000000004
"C8_alpha","CD Lesional",12,110.30119820975,382.0747708563555,0.0045474955,4.02025e-4,1323.551543,0.006765603750000001
"C8_alpha","CD Non Lesional",15,0.0019799824,0.0019664619746659153,0.001158874,2.23102e-4,0.005841812,0.0025465885
"C9","Control Non Lesional",11,588.8127888561363,1328.5521797179595,46.79871027,8.18455e-5,4501.061571,364.0754492885
"C9","UC Non Lesional",16,6849.51034958,17236.68484704288,173.87953679999998,0.006117782,63991.20396,2375.944677549
"C9","UC Lesional",10,7235.3780551499995,10253.787491869061,2327.2910375,148.5934664,31193.64534,9702.288053974999
"C9","CD Lesional",12,749.4125031836363,1448.450029923348,85.51569507,4.33308e-4,4920,920.079985515
"C9","CD Non Lesional",15,2244.580355222857,3091.452692723978,1068.53124085,24.43296306,9432.186892,2282.00062385
"CD46","Control Non Lesional",11,1.2687103674545455,0.3961879875068236,1.201162791,0.736058231,2.233175355,0.31344915000000007
"CD46","UC Non Lesional",16,4.5913359006,12.241662530610924,1.461538462,0.903560481,48.81291548,0.47437443050000017
"CD46","UC Lesional",10,0.9524004971,0.5345932603743373,0.8174636580000001,0.375797872,1.991021324,0.6235229792500001
"CD46","CD Lesional",12,1.3180792814545454,0.8192202629536417,1.286690975,0.519670288,3.437409656,0.78820276
"CD46","CD Non Lesional",15,1.3276977399333334,0.4151897362788794,1.274474474,0.599412341,2.255963119,0.4699659275000001
"CD59","Control Non Lesional",11,15.189223747272727,14.758204289070248,10.21587512,1.203807391,46.00242277,16.979401393499998
"CD59","UC Non Lesional",16,123.52535554164288,371.1399136563272,22.919784815,3.879359634,1411.206078,21.0080493375
"CD59","UC Lesional",10,56.423733886200004,81.50803037623224,22.210375075,0.002553877,272.4466891,35.5783608375
"CD59","CD Lesional",12,19.110679996727274,15.59776761235448,14.20627803,2.699512926,54.0329575,13.117420684000002
"CD59","CD Non Lesional",15,16.9306710222,10.949129359146772,20.32471437,2.948479926,36.77350427,17.9103354815
"CFB","Control Non Lesional",11,0.43012126327272726,0.3491354919864043,0.354535274,0.03833698,1.069017254,0.5475389
"CFB","UC Non Lesional",16,51.190492696999996,200.04021316880335,0.9642270534999999,0.168571429,801.328328,0.91617454925
"CFB","UC Lesional",10,1.04796087,0.6450004878743567,0.8280728785,0.38856383,2.166666667,0.5638071160000001
"CFB","CD Lesional",12,311984.0996302476,1080739.3105772287,1.354892794,0.678571429,3743792.325,1.0831723739999999
"CFB","CD Non Lesional",15,1.2696743602,1.4679515129086955,0.903309539,0.082642643,5.758036236,0.9273300064999999
"CFH","Control Non Lesional",11,1.9458143492727273,1.5282704021779951,1.723857317,0.616035635,5.934571477,1.496839041
"CFH","UC Non Lesional",16,1.6868926615333333,0.9770615014326616,1.376499359,0.291306991,3.261969286,1.6419254525
"CFH","UC Lesional",10,2821.9587738902,8919.209607853709,1.527743708,0.09707419,28206.47419,1.6987094647499998
"CFH","CD Lesional",12,1.9912089192,1.0941984956571325,1.642358443,0.872386059,3.937755938,1.4257227205
"CFH","CD Non Lesional",15,1.5578306095833334,0.9908228054919199,1.3192786495000002,0.374137931,3.899513776,1.1019351095
"CFP","Control Non Lesional",11,0.8287868889090909,0.9069548395545617,0.490328467,0.113394495,2.624615385,0.485680515
"CFP","UC Non Lesional",16,388.74517006218747,1551.2602675931385,0.571931818,0.042348485,6205.970149,1.2943959485000003
"CFP","UC Lesional",10,1.3249840736666667,0.7188483123493687,1.232051282,0.490140845,2.42969697,1.296859835
"CFP","CD Lesional",12,1.6491422282000001,1.0213637319646052,1.5823403429999998,0.46136646,4.021683673,0.9146788752500001
"CFP","CD Non Lesional",15,1.1803012540833333,0.9132457296429344,0.7329989675,0.219739583,2.627368421,1.5344154112500001
"CR1","Control Non Lesional",11,25.469100872272726,38.7157153816641,7.771084337,0.76266055,122.7586207,14.826698882499999
"CR1","UC Non Lesional",16,10032.270406068063,39892.03146261432,13.476515150000001,1.969444444,159626.8657,73.09561414525001
"CR1","UC Lesional",10,20.217485168777777,12.333406614198703,16.88571429,7.011737089,49.71505376,7.396810210000002
"CR1","CD Lesional",12,20.6042415888,12.949453617121968,16.732566495,5.921186441,39.61734694,23.240111231999997
"CR1","CD Non Lesional",15,18.52087881583333,36.54016248862347,6.127372049,0.993442623,133.0578512,7.8647175114999985
"CR2","Control Non Lesional",11,12.302938309999998,22.661839408399484,1.78592233,0.015504587,60.3591954,5.2042349735
"CR2","UC Non Lesional",16,1334.897606750125,5230.359194866635,2.4996969695,0.008916256,20947.76119,26.159940062
"CR2","UC Lesional",10,2.4136811012,2.6839088643526603,2.1366043865,0.079342723,8.881578947,2.620043464
"CR2","CD Lesional",12,3.9664984561999996,5.268565993554241,1.181264124,0.206635514,16.69642857,5.723626251500001
"CR2","CD Non Lesional",15,2.9498233023333333,6.803524335118299,0.6098642304999999,0.03890625,24.09090909,1.1438079650000001
"CR3","Control Non Lesional",11,0.43195559218181817,0.4200616141103469,0.31075,0.035294118,1.365517241,0.4589389635
"CR3","UC Non Lesional",16,133.0729723540625,529.489671451533,0.366885386,0.113546798,2118.656716,0.8491075515000001
"CR3","UC Lesional",10,0.5513499813,0.5079833303992305,0.3855596295,0.057727273,1.751612903,0.33586099299999994
"CR3","CD Lesional",12,0.710217487,0.6739094878556331,0.4660922655,0.110847458,2.320430108,0.68370319025
"CR3","CD Non Lesional",15,0.40774477333333337,0.27441084764188617,0.40111518150000003,0.024497992,1.051928375,0.270613095
"CR4","Control Non Lesional",11,0.007720235,0.00806240626293477,0.00452178,7.4688e-4,0.02712766,0.0080831055
"CR4","UC Non Lesional",16,0.0150862971875,0.01418732431084947,0.011114467999999999,0.001804786,0.045350877,0.021188172499999998
"CR4","UC Lesional",10,0.02734837788888889,0.0169479031889953,0.019670992,0.011527477,0.056437561,0.029238889999999997
"CR4","CD Lesional",12,0.0287073527,0.02624065779888491,0.0206370895,0.007331037,0.094730392,0.024347287250000006
"CR4","CD Non Lesional",15,0.018569698833333332,0.018181630605250475,0.010368622000000001,0.002443155,0.057067813,0.022471214500000003
"VSIG4","Control Non Lesional",11,16.767067344636363,16.080492491322047,11.26903553,1.096791444,47.10769231,13.118242973
"VSIG4","UC Non Lesional",16,7766.150239023436,31003.65578547111,12.716959895,3.446534653,124029.8507,15.825368941750003
"VSIG4","UC Lesional",10,11.74372411811111,10.053056332520837,9.60952381,0.612884615,36.07878788,7.729732459000001
"VSIG4","CD Lesional",12,20.9792894126,26.41015353927102,11.83955989,1.88034188,90.05376344,16.891262098
"VSIG4","CD Non Lesional",15,16.993968073250002,16.807982702787044,11.3634843,3.304216867,60.52631579,10.053387348000001
